Type,ID,Ordre,Données JSON
meta,publication,0,"{""schemaVersion"":""1"",""applicationVersion"":""0.1.0"",""publishedAt"":""2026-09-07T14:30:00-04:00"",""locale"":""fr-CA"",""message"":""Données de démonstration — la feuille Google n’est pas encore connectée.""}"
tournoi,T2026,0,"{""id"":""T2026"",""name"":""Tournoi Bleu & Or"",""edition"":""Édition 2026"",""startDate"":""2026-11-06"",""endDate"":""2026-11-08"",""mainVenue"":""École secondaire Lucien-Pagé"",""description"":""Tournoi scolaire de futsal.""}"
division,D-BEN-M,0,"{""id"":""D-BEN-M"",""tournamentId"":""T2026"",""name"":""Benjamin masculin"",""poolCount"":1,""qualifiers"":2}"
lieu,GYM-1,0,"{""id"":""GYM-1"",""tournamentId"":""T2026"",""name"":""Gymnase 1"",""address"":""""}"
equipe,E01,0,"{""id"":""E01"",""tournamentId"":""T2026"",""divisionId"":""D-BEN-M"",""pool"":""A"",""name"":""Les Aigles"",""school"":""École du Parc""}"
equipe,E02,1,"{""id"":""E02"",""tournamentId"":""T2026"",""divisionId"":""D-BEN-M"",""pool"":""A"",""name"":""Les Lynx"",""school"":""École des Sommets""}"
equipe,E03,2,"{""id"":""E03"",""tournamentId"":""T2026"",""divisionId"":""D-BEN-M"",""pool"":""A"",""name"":""Le Phénix"",""school"":""École Centrale""}"
match,M01,0,"{""id"":""M01"",""tournamentId"":""T2026"",""divisionId"":""D-BEN-M"",""pool"":""A"",""phase"":""POOL"",""round"":""1"",""date"":""2026-11-06"",""time"":""17:00"",""venueId"":""GYM-1"",""homeTeamId"":""E01"",""awayTeamId"":""E02"",""homeScore"":3,""awayScore"":1,""final"":true,""reason"":""""}"
match,M02,1,"{""id"":""M02"",""tournamentId"":""T2026"",""divisionId"":""D-BEN-M"",""pool"":""A"",""phase"":""POOL"",""round"":""2"",""date"":""2026-11-07"",""time"":""09:00"",""venueId"":""GYM-1"",""homeTeamId"":""E02"",""awayTeamId"":""E03"",""homeScore"":null,""awayScore"":null,""final"":false,""reason"":""""}"
match,M03,2,"{""id"":""M03"",""tournamentId"":""T2026"",""divisionId"":""D-BEN-M"",""pool"":""A"",""phase"":""POOL"",""round"":""3"",""date"":""2026-11-07"",""time"":""11:00"",""venueId"":""GYM-1"",""homeTeamId"":""E03"",""awayTeamId"":""E01"",""homeScore"":null,""awayScore"":null,""final"":false,""reason"":""""}"
classement,D-BEN-M:E01,0,"{""id"":""D-BEN-M:E01"",""tournamentId"":""T2026"",""divisionId"":""D-BEN-M"",""pool"":""A"",""teamId"":""E01"",""teamName"":""Les Aigles"",""played"":1,""wins"":1,""draws"":0,""losses"":0,""goalsFor"":3,""goalsAgainst"":1,""difference"":2,""points"":3,""rank"":1}"
classement,D-BEN-M:E03,1,"{""id"":""D-BEN-M:E03"",""tournamentId"":""T2026"",""divisionId"":""D-BEN-M"",""pool"":""A"",""teamId"":""E03"",""teamName"":""Le Phénix"",""played"":0,""wins"":0,""draws"":0,""losses"":0,""goalsFor"":0,""goalsAgainst"":0,""difference"":0,""points"":0,""rank"":2}"
classement,D-BEN-M:E02,2,"{""id"":""D-BEN-M:E02"",""tournamentId"":""T2026"",""divisionId"":""D-BEN-M"",""pool"":""A"",""teamId"":""E02"",""teamName"":""Les Lynx"",""played"":1,""wins"":0,""draws"":0,""losses"":1,""goalsFor"":1,""goalsAgainst"":3,""difference"":-2,""points"":0,""rank"":3}"
